primary_affiliation;pubid
Danone_Research;u3T1itk59dMC
Danone_Research;V_vSwabWVtYC
INRAE;e84hm74t-eoC
INRAE;qsWQJNntlusC
INRAE;RfUwGJFMQ-0C
Danone_Research;SpPTWFSNUtQC
Danone_Research;KI9T_ytC6pkC
Danone_Research;xyvS_IvSCKsC
Danone_Research;XAp-VaTZjjwC
Danone_Research;Ej9njvOgR2oC
Danone_Research;vnF2_uLGgtgC
Danone_Research;aDl3D7KC1E4C
Danone_Research;PuOEWVtPfzwC
Danone_Research;TGkaJS32XoUC
Danone_Research;vVJNg6_NJEsC
Danone_Research;0sTkTiv_uMkC
Danone_Research;M_lZXyI38BkC
Danone_Research;E7VqQtBCVmcC
Danone_Research;XDrR66g3YHsC
Danone_Research;VRfTbSk87rEC
Danone_Research;Vno172sVVMwC
INRAE;yTLRzDEmwhEC
Danone_Research;H7nrzBkawXsC
Danone_Research;bVQMTfhMCi4C
Danone_Research;rOcdG6UcVlcC
Danone_Research;Y9VhQm-5nPIC
Danone_Research;KTwcwpFFj4wC
Danone_Research;Y0-TYkg6YM4C
Danone_Research;RMgMIBzvq-4C
Danone_Research;L24QuVWYgZ0C
Danone_Research;wUn16MOA3RoC
Danone_Research;Azgs6IHzeyYC
Danone_Research;KS-xo-ZNxMsC
INRAE;rCNdntzdTkkC
Danone_Research;wLxue7F8ec0C
Danone_Research;9DLIHnF0jcYC
Danone_Research;In6cVmBjs0IC
Danone_Research;iyewoVqAXLQC
Danone_Research;tz746QTLzJkC
INRAE;ijdKiLOsEJMC
INRAE;OzeSX8-yOCQC
INRAE;jmjb1lOE9QIC
Danone_Research;dAp6zn-oMfAC
EMBL;q0uBw5dMOAkC
EMBL;cBPnxVikjH8C
EMBL;kNdYIx-mwKoC
EMBL;pQTOvowfQioC
INRAE;c59VksA5Vz4C
EMBL;6ZzL7HXColQC
EMBL;hqOjcs7Dif8C
EMBL;W7OEmFMy1HYC
EMBL;0EnyYjriUFMC
INRAE;_FxGoFyzp5QC
Institut_Pasteur;YsMSGLbcyi4C
EMBL;MXK_kJrjxJIC
EMBL;d1gkVwhDpl0C
INRAE;IjCSPb-OGe4C
INRAE;Tyk-4Ss8FVUC
INRAE;cNe27ouKFcQC
INRAE;I858iXPj1OkC
INRAE;u5HHmVD_uO8C
INRAE;2osOgNQ5qMEC
INRAE;qjMakFHDy7sC
INRAE;UeHWp8X0CEIC
INRAE;WF5omc3nYNoC
INRAE;eQOLeE2rZwMC
INRAE;u-x6o8ySG0sC
INRAE;9yKSN-GCB0IC
INRAE;Y0pCki6q_DkC
INRAE;LkGwnXOMwfcC
INRAE;ufrVoPGSRksC
Institut_Pasteur;JWITY9-sCbMC
UPEC;g8uWPOAv7ggC
Institut_Pasteur;yeL6HyUMUGUC
Institut_Pasteur;QVtou7C4vgoC
